yearID,W,L,R,H,2B,3B,HR,name
2000,82,80,864,1574,309,34,236,Anaheim Angels
2000,85,77,792,1466,282,44,179,Arizona Diamondbacks
2000,95,67,810,1490,274,26,179,Atlanta Braves
2000,74,88,794,1508,310,22,184,Baltimore Orioles
2000,85,77,792,1503,316,32,167,Boston Red Sox
2000,95,67,978,1615,325,33,216,Chicago White Sox
2000,65,97,764,1426,272,23,183,Chicago Cubs
2000,85,77,825,1545,302,36,200,Cincinnati Reds
2000,90,72,950,1639,310,30,221,Cleveland Indians
2000,82,80,968,1664,320,53,161,Colorado Rockies
2000,79,83,823,1553,307,41,177,Detroit Tigers
2000,79,82,731,1441,274,29,160,Florida Marlins
2000,72,90,938,1547,289,36,249,Houston Astros
2000,77,85,879,1644,281,27,150,Kansas City Royals
2000,86,76,798,1408,265,28,211,Los Angeles Dodgers
2000,73,89,740,1366,297,25,177,Milwaukee Brewers
2000,69,93,748,1516,325,49,116,Minnesota Twins
2000,67,95,738,1475,310,35,178,Montreal Expos
2000,87,74,871,1541,294,25,205,New York Yankees
2000,94,68,807,1445,281,20,198,New York Mets
2000,91,70,947,1501,281,23,239,Oakland Athletics
2000,65,97,708,1386,304,40,144,Philadelphia Phillies
2000,69,93,793,1506,320,31,168,Pittsburgh Pirates
2000,76,86,752,1413,279,37,157,San Diego Padres
2000,91,71,907,1481,300,26,198,Seattle Mariners
2000,97,65,925,1535,304,44,226,San Francisco Giants
2000,95,67,887,1481,259,25,235,St. Louis Cardinals
2000,69,92,733,1414,253,22,162,Tampa Bay Devil Rays
2000,71,91,848,1601,330,35,173,Texas Rangers
2000,83,79,861,1562,328,21,244,Toronto Blue Jays
2001,75,87,691,1447,275,26,158,Anaheim Angels
2001,92,70,818,1494,284,35,208,Arizona Diamondbacks
2001,88,74,729,1432,263,24,174,Atlanta Braves
2001,63,98,687,1359,262,24,136,Baltimore Orioles
2001,82,79,772,1493,316,29,198,Boston Red Sox
2001,83,79,798,1463,300,29,214,Chicago White Sox
